x,y
0,3,0
1,3.01498,-0.0371562
2,3.06068,-0.0709045
3,3.13935,-0.0970399
4,3.25476,-0.109542
5,3.41205,-0.0990603
6,3.617,-0.0505201
7,3.87358,0.060526
8,4.17733,0.272589
9,4.50006,0.640673
10,4.76187,1.22362
11,4.80692,2.02891
12,4.456,2.9136
13,3.69197,3.58131
14,2.7572,3.81904
15,1.93615,3.67909
16,1.34535,3.34653
17,0.963792,2.96673
18,0.730485,2.60979
19,0.592137,2.29832
20,0.512292,2.03394
21,0.468064,1.81105
22,0.445487,1.62261
23,0.436072,1.46211
24,0.43463,1.32415
25,0.437956,1.20438
26,0.444054,1.09938
27,0.451667,1.00646
28,0.460004,0.923474
29,0.468566,0.848744
30,0.477038,0.780913
31,0.485228,0.718889
32,0.493019,0.661785
33,0.500348,0.60887
34,0.50718,0.559541
35,0.513504,0.513293
36,0.519323,0.469702
37,0.524644,0.428408
38,0.529484,0.389101
39,0.533858,0.351514
40,0.537784,0.315415
41,0.541279,0.280599
42,0.544359,0.246886
43,0.54704,0.214113
44,0.549336,0.182134
45,0.551257,0.150814
46,0.552816,0.120028
47,0.554019,0.0896622
48,0.554874,0.0596053
49,0.555385,0.0297521
