x,y,z
0,1.5,1.49944
1,1.65,1.65056
2,0.915,0.914444
3,0.0165,0.0170556
4,-0.53085,-0.531406
5,-0.593835,-0.593279
6,-0.334709,-0.335264
7,-0.0118784,-0.0113228
8,0.187759,0.187203
9,0.213662,0.214217
10,0.122373,0.121817
11,0.00641282,0.00696838
12,-0.0663695,-0.066925
13,-0.0768541,-0.0762986
14,-0.0447178,-0.0452734
15,-0.00307716,-0.0025216
16,0.0234458,0.0228903
17,0.0276367,0.0281923
18,0.0163329,0.0157773
19,0.00138414,0.0019397
20,-0.00827717,-0.00883273
21,-0.00993538,-0.00937982
22,-0.00596261,-0.00651817
23,-0.000597646,-4.209e-05
24,0.00292016,0.0023646
25,0.00357076,0.00412631
26,0.00217574,0.00162019
27,0.00025086,0.000806416
28,-0.0010295,-0.00158505
29,-0.00128296,-0.000727409
30,-0.000793562,-0.00134912
31,-0.000103139,0.000452416
32,0.000362684,-0.000192872
33,0.000460836,0.00101639
34,0.000289309,-0.000266246
35,4.17385e-05,0.000597294
36,-0.000127673,-0.000683229
37,-0.000165484,0.000390072
38,-0.000105428,-0.000660984
39,-1.66807e-05,0.000538875
40,4.4908e-05,-0.000510648
41,5.94073e-05,0.000614963
42,3.84032e-05,-0.000517152
43,6.59912e-06,0.000562155
44,-1.57829e-05,-0.000571338
45,-2.13206e-05,0.000534235
46,-1.3983e-05,-0.000569539
47,-2.58889e-06,0.000552967
48,5.542e-06,-0.000550014
49,7.64954e-06,0.000563205
50,5.08929e-06,-0.000550466
51,1.0085e-06,0.000556564
52,-1.94423e-06,-0.0005575
53,-2.74375e-06,0.000552812
54,-1.85159e-06,-0.000557407
55,-3.90496e-07,0.000555165
56,6.81406e-07,-0.000554874
57,9.83844e-07,0.000556539
58,6.73385e-07,-0.000554882
59,1.50417e-07,0.000555706
60,-2.38572e-07,-0.000555794
61,-3.5268e-07,0.000555203
62,-2.44804e-07,-0.0005558
63,-5.76769e-08,0.000555498
64,8.3438e-08,-0.000555472
65,1.26388e-07,0.000555682
66,8.89639e-08,-0.000555467
67,2.20276e-08,0.000555578
68,-2.9148e-08,-0.000555585
69,-4.52794e-08,0.00055551
70,-3.23185e-08,-0.000555588
71,-8.38272e-09,0.000555547
72,1.01701e-08,-0.000555545
73,1.62168e-08,0.000555572
74,1.17364e-08,-0.000555544
75,3.17995e-09,0.000555559
76,-3.54388e-09,-0.000555559
77,-5.80623e-09,0.00055555
78,-4.26053e-09,-0.00055556
79,-1.20284e-09,0.000555554
80,1.23319e-09,-0.000555554
81,2.07821e-09,0.000555558
82,1.54612e-09,-0.000555554
83,4.53806e-10,0.000555556
84,-4.28487e-10,-0.000555556
85,-7.43619e-10,0.000555555
86,-5.60889e-10,-0.000555556
87,-1.70806e-10,0.000555555
88,1.48646e-10,-0.000555555
89,2.65995e-10,0.000555556
90,2.03406e-10,-0.000555555
91,6.41502e-11,0.000555556
92,-5.14787e-11,-0.000555556
93,-9.51166e-11,0.000555555
94,-7.37411e-11,-0.000555556
95,-2.40452e-11,0.000555556
96,1.77949e-11,-0.000555556
97,3.40015e-11,0.000555556
98,2.67247e-11,-0.000555556
99,8.9963e-12,0.000555556
100,-6.13892e-12,-0.000555556
101,-1.21506e-11,0.000555556
102,-9.6823e-12,-0.000555556
103,-3.36017e-12,0.000555556
104,2.11319e-12,-0.000555556
105,4.34061e-12,0.000555556
106,3.50676e-12,-0.000555556
107,1.25307e-12,0.000555556
108,-7.2568e-13,-0.000555556
109,-1.55009e-12,0.000555556
110,-1.26969e-12,-0.000555556
111,-4.66606e-13,0.000555556
112,2.48548e-13,-0.000555556
113,5.53366e-13,0.000555556
114,4.59574e-13,-0.000555556
115,1.73512e-13,0.000555556
116,-8.48815e-14,-0.000555556
117,-1.97477e-13,0.000555556
118,-1.66295e-13,-0.000555556
119,-6.4439e-14,0.000555556
120,2.88944e-14,-0.000555556
121,7.04472e-14,0.000555556
122,6.01553e-14,-0.000555556
123,2.39025e-14,0.000555556
124,-9.80043e-15,-0.000555556
125,-2.5122e-14,0.000555556
126,-2.17539e-14,-0.000555556
127,-8.85612e-15,0.000555556
128,3.31062e-15,-0.000555556
129,8.95535e-15,0.000555556
130,7.86451e-15,-0.000555556
131,3.27776e-15,0.000555556
132,-1.11318e-15,-0.000555556
133,-3.19115e-15,0.000555556
134,-2.84236e-15,-0.000555556
135,-1.2119e-15,0.000555556
136,3.7232e-16,-0.000555556
137,1.13669e-15,0.000555556
138,1.02697e-15,-0.000555556
139,4.47652e-16,0.000555556
140,-1.23765e-16,-0.000555556
141,-4.04733e-16,0.000555556
142,-3.70947e-16,-0.000555556
143,-1.65202e-16,0.000555556
144,4.08461e-17,-0.000555556
145,1.44052e-16,0.000555556
146,1.3395e-16,-0.000555556
147,6.09133e-17,0.000555556
148,-1.33651e-17,-0.000555556
149,-5.12496e-17,0.000555556
150,-4.83555e-17,-0.000555556
151,-2.24413e-17,0.000555556
152,4.32788e-18,-0.000555556
153,1.82254e-17,0.000555556
154,1.74513e-17,-0.000555556
155,8.26112e-18,0.000555556
156,-1.38352e-18,-0.000555556
157,-6.47855e-18,0.000555556
158,-6.29629e-18,-0.000555556
159,-3.03879e-18,0.000555556
160,4.35106e-19,-0.000555556
161,2.30189e-18,0.000555556
162,2.27101e-18,-0.000555556
163,1.11698e-18,0.000555556
164,-1.33928e-19,-0.000555556
165,-8.1751e-19,0.000555556
166,-8.18904e-19,-0.000555556
167,-4.10289e-19,0.000555556
168,4.0025e-20,-0.000555556
169,2.90201e-19,0.000555556
170,2.95206e-19,-0.000555556
171,1.50606e-19,0.000555556
172,-1.1457e-20,-0.000555556
173,-1.02966e-19,0.000555556
174,-1.06389e-19,-0.000555556
175,-5.52478e-20,0.000555556
176,3.06062e-21,-0.000555556
177,3.65154e-20,0.000555556
178,3.83305e-20,-0.000555556
179,2.02544e-20,0.000555556
180,-7.18517e-22,-0.000555556
181,-1.2943e-20,0.000555556
182,-1.38062e-20,-0.000555556
183,-7.421e-21,0.000555556
184,1.20604e-22,-0.000555556
185,4.58527e-21,0.000555556
186,4.97143e-21,-0.000555556
187,2.71741e-21,0.000555556
188,6.29678e-24,-0.000555556
189,-1.62352e-21,0.000555556
190,-1.78965e-21,-0.000555556
191,-9.94504e-22,0.000555556
192,-2.01634e-23,-0.000555556
193,5.74523e-22,0.000555556
194,6.44073e-22,-0.000555556
195,3.63767e-22,0.000555556
196,1.36995e-23,-0.000555556
197,-2.0319e-22,0.000555556
198,-2.31729e-22,-0.000555556
199,-1.32988e-22,0.000555556
200,-7.24913e-24,-0.000555556
201,7.18187e-23,0.000555556
202,8.335e-23,-0.000555556
203,4.85938e-23,0.000555556
204,3.44319e-24,-0.000555556
205,-2.53688e-23,0.000555556
206,-2.99716e-23,-0.000555556
207,-1.77475e-23,0.000555556
208,-1.53926e-24,-0.000555556
209,8.95529e-24,0.000555556
210,1.07744e-23,-0.000555556
211,6.47864e-24,0.000555556
212,6.61878e-25,-0.000555556
213,-3.15912e-24,0.000555556
214,-3.87216e-24,-0.000555556
215,-2.3639e-24,0.000555556
216,-2.76998e-25,-0.000555556
217,1.11364e-24,0.000555556
218,1.39121e-24,-0.000555556
219,8.62141e-25,0.000555556
220,1.13631e-25,-0.000555556
221,-3.9229e-25,0.000555556
222,-4.99698e-25,-0.000555556
223,-3.14294e-25,0.000555556
224,-4.59042e-26,-0.000555556
225,1.38082e-25,0.000555556
226,1.79432e-25,-0.000555556
227,1.14527e-25,0.000555556
228,1.83198e-26,-0.000555556
229,-4.85641e-26,0.000555556
230,-6.44124e-26,-0.000555556
231,-4.17152e-26,0.000555556
232,-7.23927e-27,-0.000555556
233,1.70659e-26,0.000555556
234,2.31161e-26,-0.000555556
235,1.51881e-26,0.000555556
