x,y
0,-1.17018e-13,0
1,1.14908e-13,-1.88086e-13
2,-1.94955e-13,5.92859e-14
3,7.63833e-14,1.78552e-13
4,1.27454e-13,-1.37917e-13
5,-9.21485e-15,-1.7597e-14
6,-1.26454e-13,1.41887e-13
7,6.35048e-14,-2.7478e-14
8,7.13873e-14,-2.17049e-14
9,-4.66294e-15,5.75096e-14
10,3.28626e-14,9.57012e-14
11,3.15858e-13,-3.66374e-14
12,-1.02363e-13,-1.63758e-13
13,-1.58984e-13,3.80806e-14
14,2.7478e-13,-3.01981e-14
15,8.58202e-14,1.39888e-14
16,2.47247e-13,-1.69198e-13
17,2.16493e-14,-4.16667e-13
18,2.57017e-14,-2.78999e-13
19,-1.99896e-13,-3.19078e-13
20,-1.0224e-12,50
21,2.91711e-14,3.57714e-13
22,-1.73889e-13,2.03282e-13
23,3.12098e-13,8.21565e-14
24,-1.22374e-13,8.9595e-14
25,-1.23966e-13,-6.77236e-14
26,2.82246e-13,4.16556e-13
27,1.27523e-13,-1.60649e-13
28,-1.04472e-13,-1.20459e-13
29,1.0919e-13,-5.07372e-14
30,-1.25844e-13,-6.43929e-14
31,-1.90958e-14,1.03251e-13
32,-7.38298e-15,1.96176e-13
33,1.99563e-13,1.32228e-13
34,-4.84057e-14,-2.45581e-13
35,-1.46883e-13,1.66533e-14
36,-3.3884e-13,2.0417e-13
37,1.43663e-13,1.20903e-13
38,1.31228e-13,3.66374e-13
39,5.8864e-13,-2.18714e-13
40,-2.51688e-13,-3.52607e-13
41,-4.03899e-13,-1.03473e-13
42,-9.51461e-14,7.40519e-14
43,-3.41838e-13,4.97047e-13
44,5.11591e-13,1.73139e-13
45,2.13385e-13,-1.0858e-13
46,-1.82299e-13,-8.29892e-15
47,-7.06102e-14,1.44718e-13
48,2.20934e-14,3.17996e-13
49,2.96096e-13,1.09156e-13
